               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075265,            0.030964,            0.016911,             0.29386,             0.43465,             0.29179,            0.095377,            0.052954,            0.016208,           0.0030598,            0.070012,            0.003332,            0.003332
                   1,            0.056409,            0.026986,           0.0051222,             0.55243,             0.49679,             0.48254,             0.20509,            0.044733,            0.015879,           0.0025439,            0.039946,           0.0065994,           0.0065994
                   2,            0.053733,            0.025953,           0.0043547,             0.54604,             0.42279,             0.44044,             0.18762,            0.046632,            0.016603,           0.0017603,           0.0098137,           0.0098007,           0.0098007
                   3,            0.051726,              0.0271,           0.0046006,             0.63744,             0.45168,             0.53682,             0.23357,            0.041339,            0.016069,           0.0013466,            0.009703,            0.009703,            0.009703
                   4,            0.049784,            0.026532,           0.0039848,              0.5887,             0.50718,             0.52924,             0.20117,            0.042336,            0.015368,          0.00098136,            0.009703,            0.009703,            0.009703
                   5,            0.048016,            0.026462,           0.0034131,             0.70633,             0.58285,             0.63973,             0.29917,            0.037987,             0.01487,          0.00090185,            0.009604,            0.009604,            0.009604
                   6,            0.046173,            0.025541,            0.003043,              0.6498,             0.53874,             0.58958,             0.27767,            0.038008,            0.015486,           0.0011061,            0.009505,            0.009505,            0.009505
                   7,            0.045693,            0.025664,           0.0028104,             0.73344,             0.54201,             0.65262,             0.31104,            0.037161,            0.014823,           0.0008768,            0.009406,            0.009406,            0.009406
                   8,            0.045002,            0.025359,           0.0027234,             0.65852,             0.55187,             0.57394,             0.28782,            0.036521,            0.014891,          0.00061289,            0.009307,            0.009307,            0.009307
                   9,            0.044596,            0.025294,           0.0028174,             0.64516,             0.57434,              0.6425,             0.30464,            0.036873,            0.014701,            0.001095,            0.009208,            0.009208,            0.009208
                  10,            0.044509,            0.025498,           0.0025331,             0.61929,             0.54554,             0.59338,             0.30731,            0.036683,            0.014784,          0.00069585,            0.009109,            0.009109,            0.009109
                  11,            0.044425,            0.024961,           0.0023319,             0.57119,             0.59402,             0.61475,             0.30245,             0.03744,            0.014737,          0.00073778,             0.00901,             0.00901,             0.00901
                  12,            0.043935,            0.025012,           0.0024364,             0.70724,             0.57223,              0.6488,             0.31544,            0.035358,            0.014681,          0.00066131,            0.008911,            0.008911,            0.008911
                  13,            0.043623,            0.025364,           0.0022774,             0.68523,              0.6106,             0.67507,             0.35102,            0.034971,            0.014415,          0.00064291,            0.008812,            0.008812,            0.008812
                  14,            0.043776,            0.025089,           0.0023635,             0.64063,             0.56934,             0.62574,             0.31821,            0.034686,            0.014759,          0.00059383,            0.008713,            0.008713,            0.008713
                  15,             0.04314,            0.024981,            0.002141,             0.60728,             0.56582,             0.63588,             0.32925,            0.035559,            0.014537,          0.00064704,            0.008614,            0.008614,            0.008614
                  16,            0.042428,            0.024642,           0.0021114,             0.58633,              0.6027,              0.6422,              0.3343,            0.034867,            0.014782,          0.00076898,            0.008515,            0.008515,            0.008515
                  17,            0.042333,            0.024712,           0.0020897,             0.58607,             0.62447,              0.6587,             0.31693,            0.034062,             0.01482,          0.00050725,            0.008416,            0.008416,            0.008416
